objid,u,g,r,i,z,ra,dec,flags_r,nvote,elliptical,spiralclock,spiralanticlock,edgeon,dontknow,merger
1237648674531836029,18.29665,16.2506,15.29586,14.83474,14.50509,243.15460901376,0.379971633004203,6755674587562000,20,0.75,0,0,0,0.0500000007450581,0.200000002980232
1237648674532033112,18.81465,17.66359,17.19378,16.86811,16.71585,243.689839860675,0.348816909417243,6755674587430928,34,0.381999999284744,0,0.412000000476837,0.118000000715256,0.0879999995231628,0
1237648674532491713,18.84877,17.62764,17.04583,16.64065,16.42554,244.662560262452,0.367732202774194,6755674587430928,31,0,0.967999994754791,0.0320000015199184,0,0,0
1237648674532753564,18.9502,17.03974,16.01775,15.47905,15.07813,245.256648962239,0.405248344023297,6755674587430928,58,0.155000001192093,0.017000000923872,0.034000001847744,0.792999982833862,0,0
1237648674533016287,18.46771,16.45326,15.44484,14.99735,14.62061,245.92621322349,0.360456537252182,6755674587566096,64,0.906000018119812,0,0.0469999983906746,0.0309999994933605,0.0160000007599592,0
1237648674533475041,18.81678,17.56023,17.06816,16.71169,16.55222,246.940180172031,0.343592116043874,6755674587430928,28,0.5,0.0359999984502792,0.0710000023245811,0.39300000667572,0,0
1237648674534261345,18.2259,17.06761,16.4308,16.10143,15.85293,248.685871081048,0.402134430433048,6755674587430928,21,0.570999979972839,0,0.28600001335144,0.14300000667572,0,0
1237648674534458101,18.86272,17.03113,16.09108,15.57486,15.18042,249.191922587659,0.324507333080295,6755674587562000,26,0.345999985933304,0,0.0769999995827675,0.537999987602234,0.0379999987781048,0
1237648674534719840,17.88222,15.96028,15.0617,14.59634,14.26291,249.820693919846,0.410282709493804,4503874773745680,63,0.127000004053116,0,0,0.85699999332428,0.0160000007599592,0
1237648675067134405,18.96478,17.75327,17.13841,16.75577,16.49653,239.601256185341,0.692351842238002,6755674587430928,28,0.570999979972839,0.0710000023245811,0.14300000667572,0.10700000077486,0.10700000077486,0
1237648675068510546,18.9449,17.45382,16.71061,16.26543,15.9486,242.673525827608,0.645629408188619,6755674587430928,26,0.0379999987781048,0.922999978065491,0,0.0379999987781048,0,0
1237648702966857993,18.4968,17.45951,17.0596,16.88311,16.75953,184.346679996145,-1.09377183708831,6755674587430928,27,0.25900000333786,0.407000005245209,0.0370000004768372,0.148000001907349,0.148000001907349,0
1237648702971248812,18.53582,17.10527,16.37117,15.9605,15.6496,194.342180561552,-1.05797186383054,6755674587430928,33,0,0,1,0,0,0
1237648702973673619,17.89923,16.09698,15.27797,14.84222,14.56425,199.843850586696,-1.12941974499617,6755674587566096,32,0.0309999994933605,0.781000018119812,0,0.0939999967813492,0,0.0939999967813492
1237650369937408147,17.98794,16.83463,16.31472,15.96937,15.80223,162.449912992375,-2.727168932863,6755674587430928,27,0.222000002861023,0.518999993801117,0,0.222000002861023,0.0370000004768372,0
1237650369952153890,17.72597,16.64357,16.3657,16.38626,16.87061,196.193605528116,-2.87112340252559,6755674587566096,28,0.0710000023245811,0,0.0359999984502792,0.89300000667572,0,0
1237650371561914667,18.94534,17.86113,17.42926,17.26483,17.13763,194.239132863686,-1.69367654297739,4503874773745664,53,0.358000010251999,0.0189999993890524,0.0570000000298023,0.50900000333786,0.0570000000298023,0
1237650371562111204,17.20214,15.11277,14.13789,13.65761,13.39867,194.672890000943,-1.76145482404483,6755674587566096,54,0.888999998569489,0,0,0.111000001430511,0,0
1237650371562962954,16.11291,14.43541,13.70248,13.32713,13.05494,196.592674403736,-1.68115508528562,6755674587566096,59,0.0509999990463257,0.864000022411346,0.017000000923872,0.034000001847744,0.034000001847744,0
1237650371563028495,18.96735,17.80035,17.14866,16.76645,16.60418,196.747041464165,-1.6959152215307,4503874773745680,25,0.360000014305115,0.0399999991059303,0.200000002980232,0.319999992847443,0.0399999991059303,0.0399999991059303
1237650371563290737,17.46917,15.46502,14.47863,14.02386,13.73391,197.329576157884,-1.62253056040849,6755674587566096,37,0.892000019550323,0,0,0,0.108000002801418,0
1237650372085678138,18.72306,17.55939,17.19389,16.9142,16.83486,164.314813460828,-1.26734386341633,6755674587430928,66,0.620999991893768,0,0.0450000017881393,0.151999995112419,0.181999996304512,0
1237650372086005840,18.86509,17.47648,16.70179,16.24907,15.94032,164.988124076596,-1.29368516225292,4503874773745664,27,0.777999997138977,0,0.111000001430511,0.0370000004768372,0.0740000009536743,0
